ErrorCode,Mapping,Error Description
V645,"CWE-193,CWE-787","Function call may lead to buffer overflow. Bounds should not contain size of a buffer, but a number of characters it can hold."
V646,CWE-670,The 'else' keyword may be missing. Consider inspecting the program's logic.
V647,CWE-587,Value of 'A' type is assigned to a pointer of 'B' type.
V648,CWE-783,Priority of '&&' operation is higher than priority of '||' operation.
V649,CWE-561,Two 'if' statements with identical conditional expressions. The first 'if' statement contains function return. This means that the second 'if' statement is senseless.
V650,CWE-468,Type casting is used 2 times in a row. The '+' operation is executed. Probably meant: (T1)((T2)a + b).
V651,CWE-682,"Suspicious operation of 'sizeof(X)/sizeof(T)' kind, where 'X' is of the 'class' type."
V652,CWE-480,Operation is executed 3 or more times in a row.
V653,CWE-665,Suspicious string consisting of two parts is used for initialization. Comma may be missing.
V654,CWE-834,Condition of a loop is always true/false.
V655,CWE-480,Strings were concatenated but not used. Consider inspecting the expression.
V656,CWE-665,Variables are initialized through the call to the same function. It's probably an error or un-optimized code.
V657,CWE-393,Function always returns the same value of NN. Consider inspecting the function.
V658,CWE-190,"Value is subtracted from unsigned variable. It can result in an overflow. In such a case, the comparison operation may behave unexpectedly."
V660,CWE-480,Program contains an unused label and function call: 'CC:AA()'. Probably meant: 'CC::AA()'.
V662,CWE-758,Different containers are used to set up initial and final values of iterator. Consider inspecting the loop expression.
V663,CWE-834,Infinite loop is possible. The 'cin.eof()' condition is insufficient to break from the loop. Consider adding the 'cin.fail()' function call to the conditional expression.
V664,CWE-476,Pointer is dereferenced in the member initializer list before it is checked for null in the body of a constructor.
V666,CWE-805,Value may not correspond with the length of a string passed with YY argument. Consider inspecting the NNth argument of the 'Foo' function.
V667,CWE-480,The 'throw' operator does not have any arguments and is not located within the 'catch' block.
V668,"CWE-570,CWE-571","Possible meaningless check for null, as memory was allocated using 'new' operator. Memory allocation will lead to an exception."
V670,CWE-457,Uninitialized class member is used to initialize another member. Remember that members are initialized in the order of their declarations inside a class.
V671,CWE-687,The 'swap' function may interchange a variable with itself.
V673,CWE-190,"More than N bits are required to store the value, but the expression evaluates to the T type which can only hold K bits."
V674,CWE-682,Expression contains a suspicious mix of integer and real types.
V676,CWE-253,Incorrect comparison of BOOL type variable with TRUE.
V678,CWE-688,Object is used as an argument to its own method. Consider checking the first actual argument of the 'Foo' function.
V679,CWE-457,The 'X' variable was not initialized. This variable is passed by reference to the 'Foo' function in which its value will be used.
V680,CWE-401,"The 'delete A, B' expression only destroys the 'A' object. Then the ',' operator returns a resulting value from the right side of the expression."
V681,CWE-758,The language standard does not define order in which 'Foo' functions are called during evaluation of arguments.
V683,CWE-190,The 'i' variable should probably be incremented instead of the 'n' variable. Consider inspecting the loop expression.
V684,CWE-682,Value of variable is not modified. It is possible that '1' should be present instead of '0'. Consider inspecting the expression.
V685,CWE-480,The expression contains a comma. Consider inspecting the return statement.
V686,CWE-571,Pattern A || (A && ...) was detected. The expression is excessive or contains a logical error.
V687,CWE-682,Size of array calculated by sizeof() operator was added to a pointer. It is possible that the number of elements should be calculated by sizeof(A)/sizeof(A[0]).
V689,CWE-404,Destructor of 'Foo' class is not declared as virtual. A smart pointer may not destroy an object correctly.
V692,CWE-788,"Inappropriate attempt to append a null character to a string. To determine the length of a string by 'strlen' function correctly, use a string ending with a null terminator in the first place."
V693,CWE-835,It is possible that 'i < X.size()' should be used instead of 'X.size()'. Consider inspecting conditional expression of the loop.
V694,CWE-571,The condition (ptr - const_value) is only false if the value of a pointer equals a magic constant.
V695,"CWE-561,CWE-670",Range intersections are possible within conditional expressions.
V696,CWE-670,The 'continue' operator will terminate 'do { ... } while (FALSE)' loop because the condition is always false.
V697,CWE-682,Number of elements in the allocated array equals the size of a pointer in bytes.
V698,CWE-253,"Functions of strcmp() kind can return any values, not only -1, 0, or 1."
V699,CWE-481,It is possible that 'foo = bar == baz ? .... : ....' should be used here instead of 'foo = bar = baz ? .... : ....'. Consider inspecting the expression.
V700,CWE-480,It is suspicious that variable is initialized through itself. Consider inspecting the 'T foo = foo = x;' expression.
V701,CWE-401,"Possible realloc() leak: when realloc() fails to allocate memory, original pointer is lost. Consider assigning realloc() to a temporary pointer."
V702,CWE-544,Classes should always be derived from std::exception (and alike) as 'public'.
V704,"CWE-570,CWE-571",The expression is always false on newer compilers. Avoid using 'this == 0' comparison.
V705,CWE-691,"It is possible that 'else' block was forgotten or commented out, thus altering the program's operation logics."
V706,CWE-682,Suspicious division: sizeof(X) / Value. Size of every element in X array is not equal to divisor.
V708,CWE-758,"Dangerous construction is used: 'm[x] = m.size()', where 'm' is of 'T' class. This may lead to undefined behavior."
V709,CWE-682,Suspicious comparison found: 'a == b == c'. Remember that 'a == b == c' is not equal to 'a == b && b == c'.
V712,CWE-835,Compiler may optimize out this loop or make it infinite. Use volatile variable(s) or synchronization primitives to avoid this.
V713,CWE-476,Pointer was used in the logical expression before its check for nullptr in the same logical expression.
V714,CWE-563,"Variable is not passed into foreach loop by reference, but its value is changed inside of the loop."
V715,CWE-691,The 'while' operator has empty body. This pattern is suspicious.
V716,CWE-704,Suspicious type conversion: HRESULT -> BOOL (BOOL -> HRESULT).
V717,CWE-843,It is suspicious to cast object of base class V to derived class U.
V720,CWE-676,The 'SuspendThread' function is usually used when developing a debugger. See documentation for details.
V721,"CWE-665,CWE-697",The VARIANT_BOOL type is used incorrectly. The true value (VARIANT_TRUE) is defined as -1.
V722,CWE-697,Abnormality within similar comparisons. It is possible that a typo is present inside the expression.
V723,CWE-416,"Function returns a pointer to the internal string buffer of a local object, which will be destroyed."
V724,CWE-197,Converting integers or pointers to BOOL can lead to a loss of high-order bits. Non-zero value can become 'FALSE'.
V725,CWE-704,"Dangerous cast of 'this' to 'void*' type in the 'Base' class, as it is followed by a subsequent cast to 'Class' type."
V726,CWE-761,Attempt to free memory containing the 'int A[10]' array by using the 'free(A)' function.
V727,CWE-783,Return value of 'wcslen' function is not multiplied by 'sizeof(wchar_t)'.
V728,CWE-570,Excessive check can be simplified. The '||' operator is surrounded by opposite expressions 'x' and '!x'.
V730,CWE-457,Not all members of a class are initialized inside the constructor.
V731,CWE-665,The variable of char type is compared with pointer to string.
V732,CWE-480,Unary minus operator does not modify a bool type value.
V733,CWE-783,It is possible that macro expansion resulted in incorrect evaluation order.
V736,CWE-758,The behavior is undefined for arithmetic or comparisons with pointers that do not point to members of the same array.
V737,CWE-665,"It is possible that ',' comma is missing at the end of the string."
V738,CWE-672,Temporary anonymous object is used.
V739,CWE-20,EOF should not be compared with a value of the 'char' type. Consider using the 'int' type.
V741,CWE-480,"Use of the throw (a, b); pattern. It is possible that type name was omitted: throw MyException(a, b);."
V742,CWE-170,Function receives an address of a 'char' type variable instead of pointer to a buffer.
V743,CWE-475,The memory areas must not overlap. Use 'memmove' function.
V744,"CWE-664,CWE-820",Temporary object is immediately destroyed after being created. Consider naming the object.
V745,CWE-704,A 'wchar_t *' type string is incorrectly converted to 'BSTR' type string.
V747,CWE-480,Suspicious expression inside parentheses. A function name may be missing.
V748,CWE-762,Memory for 'getline' function should be allocated only by 'malloc' or 'realloc' functions. Consider inspecting the first parameter of 'getline' function.
V749,CWE-675,Destructor of the object will be invoked a second time after leaving the object's scope.
V752,CWE-788,Creating an object with placement new requires a buffer of large size.
V753,CWE-682,The '&=' operation always sets a value of 'Foo' variable to zero.
V755,CWE-123,Copying from potentially tainted data source. Buffer overflow is possible.
V757,CWE-690,It is possible that an incorrect variable is compared with null after type conversion using 'dynamic_cast'.
V758,CWE-416,Reference was invalidated because of destruction of the temporary object returned by the function.
V759,CWE-703,Violated order of exception handlers. Exception caught by handler for base class.
V762,CWE-670,Consider inspecting virtual function arguments. See NN argument of function 'Foo' in derived class and base class.
V764,CWE-683,Possible incorrect order of arguments passed to function.
V765,CWE-682,Compound assignment expression 'X += X + N' is suspicious. Consider inspecting it for a possible error.
V766,CWE-462,An item with the same key has already been added.
V768,"CWE-570,CWE-571",Variable is of enum type. It is suspicious that it is used as a variable of a Boolean-type.
V769,CWE-119,The pointer in the expression equals nullptr. The resulting value is meaningless and should not be used.
V770,CWE-480,Possible use of left shift operator instead of comparison operator.
V772,CWE-758,Calling the 'delete' operator for a void pointer will cause undefined behavior.
V773,"CWE-401,CWE-775",Function exited without releasing the pointer/handle. A memory/resource leak is possible.
V774,CWE-416,Pointer was used after the memory was released.
V775,CWE-1023,It is suspicious that the BSTR data type is compared using a relational operator.
V776,CWE-835,Potentially infinite loop. The variable in the loop exit condition does not change its value between iterations.
V777,CWE-468,Dangerous widening type conversion from an array of derived-class objects to a base-class pointer.
V778,CWE-682,"Two similar code fragments. Perhaps, it is a typo and 'X' variable should be used instead of 'Y'."
V779,CWE-561,Unreachable code was detected. It is possible that an error is present.
V781,"CWE-129,CWE-20,CWE-789","Value of a variable is checked after it is used. Possible error in program's logic. Check lines: N1, N2."
V782,CWE-469,It is pointless to compute the distance between the elements of different arrays.
V783,CWE-119,Possible dereference of invalid iterator 'X'.
V784,CWE-197,The size of the bit mask is less than the size of the first operand. This will cause the loss of the higher bits.
V785,CWE-691,Constant expression in switch statement.
V786,CWE-197,"Assigning the value C to the X variable looks suspicious. The value range of the variable: [A, B]."
V788,CWE-457,Review captured variable in lambda expression.
V789,CWE-672,"Iterators for the container, used in the range-based for loop, become invalid upon a function call."
V791,CWE-691,The initial value of the index in the nested loop equals 'i'. Consider using 'i + 1' instead.
V792,CWE-691,The function located to the right of the '|' and '&' operators will be called regardless of the value of the left operand. Consider using '||' and '&&' instead.
V793,CWE-691,"It is suspicious that the result of the statement is a part of the condition. Perhaps, this statement should have been compared with something else."
V794,CWE-404,The assignment operator should be protected from the case of 'this == &src'.
V796,CWE-484,A 'break' statement is probably missing in a 'switch' statement.
V797,CWE-253,The function is used as if it returned a bool type. The return value of the function should probably be compared with std::string::npos.
V798,CWE-789,The size of the dynamic array can be less than the number of elements in the initializer.
V1001,"CWE-14,CWE-563",Variable is assigned but not used by the end of the function.
V1002,CWE-665,"Class that contains pointers, constructor and destructor is copied by the automatically generated operator= or copy constructor."
V1004,"CWE-119,CWE-476,CWE-628",Pointer was used unsafely after its check for nullptr.
V1005,CWE-404,The resource was acquired using 'X' function but was released using incompatible 'Y' function.
V1006,CWE-675,Several shared_ptr objects are initialized by the same pointer. A double memory deallocation will occur.
V1007,CWE-457,Value from the uninitialized optional is used. It may be an error.
V1008,CWE-691,No more than one iteration of the loop will be performed. Consider inspecting the 'for' operator.
V1009,CWE-665,Check the array initialization. Only the first element is initialized explicitly.
V1010,"CWE-134,CWE-138,CWE-20,CWE-78",Unchecked tainted data is used in expression.
V1011,CWE-821,Function execution could be deferred. Consider specifying execution policy explicitly.
V1012,CWE-192,The expression is always false. Overflow check is incorrect.
V1013,CWE-670,Suspicious subexpression in a sequence of similar comparisons.
V1014,CWE-682,Structures with members of real type are compared byte-wise.
V1015,CWE-480,Suspicious simultaneous use of bitwise and logical operators.
V1016,CWE-681,The value is out of range of enum values. This causes unspecified or undefined behavior.
V1017,CWE-416,"Variable of the 'string_view' type references a temporary object, which will be removed after evaluation of an expression."
V1018,"CWE-413,CWE-833","Usage of a suspicious mutex wrapper. It is probably unused, uninitialized, or already locked."
V1019,CWE-480,Compound assignment expression is used inside condition.
V1020,CWE-772,Function exited without performing epilogue actions. It is possible that there is an error.
V1021,CWE-835,The variable is assigned the same value on several loop iterations.
V1022,CWE-755,Exception was thrown by pointer. Consider throwing it by value instead.
V1023,CWE-460,A pointer without owner is added to the container by the 'emplace_back' method. A memory leak will occur in case of an exception.
V1024,CWE-20,Potential use of invalid data. The stream is checked for EOF before reading from it but is not checked after reading.
V1025,CWE-820,New variable with default value is created instead of 'std::unique_lock' that locks on the mutex.
V1026,CWE-190,The variable is incremented in the loop. Undefined behavior will occur in case of signed integer overflow.
V1027,CWE-704,Pointer to an object of the class is cast to unrelated class.
V1028,CWE-190,"Possible overflow. Consider casting operands, not the result."
V1029,CWE-197,Numeric Truncation Error. Return value of function is written to N-bit variable.
V1032,CWE-843,Pointer is cast to a more strictly aligned pointer type.
V1034,CWE-834,Do not use real-type variables as loop counters.
V1036,CWE-609,Potentially unsafe double-checked locking.
V1037,CWE-691,Two or more case-branches perform the same actions.
V1038,CWE-468,It is suspicious that a char or string literal is added to a pointer.
V1041,CWE-825,Class member is initialized with dangling reference.
V1042,CWE-1177,"This file is marked with copyleft license, which requires you to open the derived source code."
V1044,CWE-834,Loop break conditions do not depend on the number of iterations.
V1045,"CWE-248,CWE-703",The DllMain function throws an exception. Consider wrapping the throw operator in a try..catch block.
V1046,CWE-682,Unsafe usage of the 'bool' and integer types together in the operation '&='.
V1047,CWE-672,Lifetime of the lambda is greater than lifetime of the local variable captured by reference.
V1048,CWE-1164,Variable 'foo' was assigned the same value.
V1050,CWE-457,Uninitialized class member is used when initializing the base class.
V1051,CWE-754,It is possible that an assigned variable should be checked in the next condition. Consider checking for typos.
V1055,CWE-131,"The 'sizeof' expression returns the size of the container type, not the number of elements. Consider using the 'size()' function."
V1057,CWE-337,Pseudo random sequence is the same at every program run. Consider assigning the seed to a value not known at compile-time.
V1058,CWE-1025,Nonsensical comparison of two different functions' addresses.
V1062,CWE-762,Class defines a custom new or delete operator. The opposite operator must also be defined.
V1063,CWE-682,The modulo by 1 operation is meaningless. The result will always be zero.
V1064,CWE-682,The left operand of integer division is less than the right one. The result will always be zero.
V1065,CWE-682,Expression can be simplified: check similar operands.
V1066,CWE-762,The 'SysFreeString' function should be called only for objects of the 'BSTR' type.
V1067,CWE-755,Throwing from exception constructor may lead to unexpected behavior.
V1070,CWE-681,Signed value is converted to an unsigned one with subsequent expansion to a larger type in ternary operator.
V1072,CWE-212,Buffer needs to be securely cleared on all execution paths.
V1073,CWE-483,Check the following code block after the 'if' statement. Consider checking for typos.
V1076,CWE-506,Code contains invisible characters that may alter its logic. Consider enabling the display of invisible characters in the code editor.
V1077,CWE-457,Conditional initialization inside the constructor may leave some members uninitialized.
V1080,"CWE-570,CWE-571",Call of 'std::is_constant_evaluated' function always returns the same value.
V1081,CWE-190,Argument of abs() function is minimal negative value. Such absolute value can't be represented in two's complement. This leads to undefined behavior.
V1083,CWE-190,Signed integer overflow in arithmetic expression. This leads to undefined behavior.
V1084,CWE-1024,The expression is always true/false. The value is out of range of enum values.
V1085,CWE-190,Negative value is implicitly converted to unsigned integer type in arithmetic expression.
V1086,"CWE-119,CWE-467,CWE-682",Call of the 'Foo' function will lead to buffer underflow.
V1087,CWE-670,Upper bound of case range is less than its lower bound. This case may be unreachable.
V1088,CWE-821,No objects are passed to the 'std::scoped_lock' constructor. No locking will be performed. This can cause concurrency issues.
V1089,CWE-820,Waiting on condition variable without predicate. A thread can wait indefinitely or experience a spurious wake-up.
V1090,CWE-248,The 'std::uncaught_exception' function is deprecated since C++17 and is removed in C++20. Consider replacing this function with 'std::uncaught_exceptions'.
V1091,CWE-704,The pointer is cast to an integer type of a larger size. Casting pointer to a type of a larger size is an implementation-defined behavior.
V1095,CWE-775,Usage of potentially invalid handle. The value should be non-negative.
V1098,CWE-826,The 'emplace' / 'insert' function call contains potentially dangerous move operation. Moved object can be destroyed even if there is no insertion.
V1099,CWE-908,Using the function of uninitialized derived class while initializing the base class will lead to undefined behavior.
V1100,CWE-826,Unreal Engine. Declaring a pointer to a type derived from 'UObject' in a class that is not derived from 'UObject' is dangerous. The pointer may start pointing to an invalid object after garbage collection.
V1101,CWE-665,Changing the default argument of a virtual function parameter in a derived class may result in unexpected behavior.
V1103,CWE-188,The values of padding bytes are unspecified. Comparing objects with padding using 'memcmp' may lead to unexpected result.
V1104,CWE-783,Priority of the 'M' operator is higher than that of the 'N' operator. Possible missing parentheses.
V1106,CWE-772,Qt. Class inherited from 'QObject' should contain at least one constructor that takes a pointer to 'QObject'.
V1109,CWE-477,Function is deprecated. Consider switching to an equivalent newer function.
V1110,CWE-772,Constructor of a class inherited from 'QObject' does not use a pointer to a parent object.
V1111,CWE-20,The index was used without check after it was checked in previous lines.
V1112,CWE-682,Comparing expressions with different signedness can lead to unexpected results.
V1114,CWE-911,Suspicious use of type conversion operator when working with COM interfaces. Consider using the 'QueryInterface' member function.
V1116,CWE-778,Creating an exception object without an explanatory message may result in insufficient logging.
V1118,CWE-269,Excessive file permissions can lead to vulnerabilities. Consider restricting file permissions.
V2001,CWE-477,Consider using the extended version of the 'foo' function here.
V2002,CWE-477,Consider using the 'Ptr' version of the 'foo' function here.
V2003,CWE-681,Explicit conversion from 'float/double' type to signed integer type.
V2004,CWE-681,Explicit conversion from 'float/double' type to unsigned integer type.
V2007,CWE-480,This expression can be simplified. One of the operands in the operation equals NN. Probably it is a mistake.
V2008,CWE-407,Cyclomatic complexity: NN. Consider refactoring the 'Foo' function.
V2013,CWE-704,Consider inspecting the correctness of handling the N argument in the 'Foo' function.
V2016,CWE-1177,Consider inspecting the function call. The function was annotated as dangerous.
V2021,CWE-617,Using assertions may cause the abnormal program termination in undesirable contexts.
V2509,CWE-676,MISRA. The function with the 'abort/exit/getenv/system' name should not be used.
V2510,CWE-676,MISRA. The function with the 'qsort/bsearch' name should not be used.
V2511,CWE-676,MISRA. Memory allocation and deallocation functions should not be used.
