ErrorCode,Mapping,Error Description
V6060,CWE-476,The reference was used before it was verified against null.
V6061,CWE-682,The used constant value is represented by an octal form.
V6062,CWE-674,Possible infinite recursion.
V6063,CWE-670,Odd semicolon ';' after 'if/for/while' operator.
V6064,CWE-572,Suspicious invocation of Thread.run().
V6067,CWE-691,Two or more case-branches perform the same actions.
V6070,CWE-662,Unsafe synchronization on an object.
V6072,CWE-682,"Two similar code fragments were found. Perhaps, this is a typo and 'X' variable should be used instead of 'Y'."
V6073,CWE-684,It is not recommended to return null or throw exceptions from 'toString' / 'clone' methods.
V6074,CWE-567,Non-atomic modification of volatile variable.
V6075,CWE-684,The signature of method 'X' does not conform to serialization requirements.
V6077,CWE-478,A suspicious label is present inside a switch(). It is possible that these are misprints and 'default:' label should be used instead.
V6079,CWE-129,"Value of variable is checked after use. Potential logical error is present. Check lines: N1, N2."
V6080,CWE-697,Consider checking for misprints. It's possible that an assigned variable should be checked in the next condition.
V6082,CWE-609,Unsafe double-checked locking.
V6085,CWE-697,An abnormality within similar comparisons. It is possible that a typo is present inside the expression.
V6086,CWE-670,Suspicious code formatting. 'else' keyword is probably missing.
V6089,CWE-670,"It's possible that the line was commented out improperly, thus altering the program's operation logics."
V6090,CWE-665,Field 'A' is being used before it was initialized.
V6093,CWE-476,Automatic unboxing of a variable may cause NullPointerException.
V6094,CWE-682,The expression was implicitly cast from integer type to real type. Consider utilizing an explicit type cast to avoid the loss of a fractional part.
V6095,CWE-821,Thread.sleep() inside synchronized block/method may cause decreased performance.
V6096,CWE-682,An odd precise comparison. Consider using a comparison with defined precision: Math.abs(A - B) < Epsilon or Math.abs(A - B) > Epsilon.
V6099,CWE-691,The initial value of the index in the nested loop equals 'i'. Consider using 'i + 1' instead.
V6100,CWE-688,An object is used as an argument to its own method. Consider checking the first actual argument of the 'Foo' method.
V6101,CWE-253,"compareTo()-like methods can return not only the values -1, 0 and 1, but any values."
V6102,CWE-662,Inconsistent synchronization of a field. Consider synchronizing the field on all usages.
V6103,CWE-391,Ignored InterruptedException could lead to delayed thread shutdown.
V6105,CWE-190,Consider inspecting the loop expression. It is possible that different variables are used inside initializer and iterator.
V6106,CWE-704,Casting expression to 'X' type before implicitly casting it to other type may be excessive or incorrect.
V6107,CWE-547,The constant NN is being utilized. The resulting value could be inaccurate. Consider using the KK constant.
V6108,CWE-834,Do not use real-type variables in 'for' loop counters.
V6109,"CWE-336,CWE-337",Potentially predictable seed is used in pseudo-random number generator.
V6111,CWE-839,Potentially negative value is used as the size of an array.
V6113,CWE-682,Suspicious division. Absolute value of the left operand is less than the value of the right operand.
V6114,CWE-404,The 'A' class containing Closeable members does not release the resources that the field is holding.
V6115,CWE-404,Not all Closeable members are released inside the 'close' method.
V6116,CWE-459,"The class does not implement the Closeable interface, but it contains the 'close' method that releases resources."
V6117,"CWE-190,CWE-191",Possible overflow. The expression will be evaluated before casting. Consider casting one of the operands instead.
V6118,CWE-390,The original exception object was swallowed. Cause of original exception could be lost.
V6119,CWE-480,The result of '&' operator is always '0'.
V6120,CWE-682,The result of the '&' operator is '0' because one of the operands is '0'.
V6123,CWE-563,Modified value of the operand is not used after the increment/decrement operation.
V6124,"CWE-197,CWE-681",Converting an integer literal to the type with a smaller value range will result in overflow.
V6125,CWE-821,"Calling the 'wait', 'notify', and 'notifyAll' methods outside of synchronized context will lead to 'IllegalMonitorStateException'."
V6126,CWE-821,Native synchronization used on high-level concurrency class.
V6127,"CWE-459,CWE-772",Closeable object is not closed. This may lead to a resource leak.
V6128,CWE-672,Using a Closeable object after it was closed can lead to an exception.
V6129,CWE-833,Possible deadlock due to incorrect synchronization order between locks.
V6130,CWE-190,Integer overflow in arithmetic expression.
V6131,CWE-190,Casting to a type with a smaller range will result in an overflow.
V6132,CWE-691,"It is possible that 'else' block was forgotten or commented out, thus altering the program's operation logics."
V6133,CWE-684,Dereferencing the parameter without a null check. Passing the 'null' value to the 'equals' method should not cause 'NullPointerException'.
